"Code","CodeKey","WebsiteMeaning","ED24GEC9Decision","ED24GEC9Reason","ExistingRuntime","ExistingRuntimePaths","ExistingRuntimeSeries","ManualHits","GMV6Hits","MiniHits","GmvWHits","GmvtLegacyHits","GenericGmvHits","UnknownSeriesHits","MatrixSuggestedDecision","TopEvidenceScore","TopEvidenceSeries","TopEvidenceManualId","TopEvidenceLine","TrackingStatus","RuntimeTarget","NextAction","TrackingReason"
"F4","F4","Outdoor ambient temperature sensor error / plate type heat exchanger outlet pipe temperature sensor fault","needs-human-source-review","Card includes both a small GMV table meaning and a GMV-W water heat pump sensor card; the conflict must be resolved before runtime use.","no","","","17","0","0","2","0","0","15","candidate-gmv-w","90","GMV-W","gree-versati-iii-split-heat-pump","1     Ambient temperature sensor error                               Ambient sensor                F4","NeedGmvWRuntimeStructure","GMV-W / Versati","Create GMV-W/Versati runtime structure and package before adding this code.","Manual evidence points to GMV-W/Versati, but runtime has no GMV-W package yet."
"FH","FH","Abnormal current sensor of compressor 1","still-blocked","Source meaning is clear, but the card does not establish GMV6 applicability beyond the generic GMV support model.","no","","","5","2","0","0","0","0","3","candidate-gmv6","125","GMV6","gree-gmv6-service-manual-2020-09","2.70 ""FH"" Abnormal Current Sensor of Compressor 1","ReadyAddGmv6","GMV6 outdoor FH","Add GMV6 outdoor fh.json with normal staged diagnostic answer and package count update.","GMV6 service manual has exact section 2.70 FH Abnormal Current Sensor of Compressor 1."
"Fy","FY","Water inlet temperature wrap fault","still-blocked","Source meaning is clear, but the card is GMV-W water heat pump VRF and does not confirm GMV6 applicability.","no","","","0","0","0","0","0","0","0","no-manual-hit","","","","","BlockedNoManualEvidence","","Keep in review until a matching service manual source is found.","No manual hit found in current indexed PDF manuals."
"Ho","HO","Marking of master hand controller","needs-human-source-review","Table-only card shows uppercase HO and has Ho/H0 visual ambiguity; source is not enough for runtime use.","no","","","8","4","0","0","0","3","1","candidate-gmv6","125","GMV6","gree-gmv6-service-manual-2020-09","displays HO, check the fault code displayed on the 2-digit digital LED of the main control board of the","AliasToExistingCode","GMV6 H0","Do not add separate Ho card. Add/verify visual input handling Ho/HO -> H0.","GMV6 manual confirms H0 / HO display for fan drive board fault. Existing runtime has H0."
"JJ","JJ","Water inlet undertemperature protection","still-blocked","Source meaning is clear, but the card is GMV-W water heat pump VRF and does not confirm GMV6 applicability.","no","","","0","0","0","0","0","0","0","no-manual-hit","","","","","BlockedNoManualEvidence","","Keep in review until a matching service manual source is found.","No manual hit found in current indexed PDF manuals."
"Jn","JN","Water flow abnormality protection","still-blocked","Source meaning is clear, but the card is GMV-W water heat pump VRF and does not confirm GMV6 applicability.","no","","","0","0","0","0","0","0","0","no-manual-hit","","","","","BlockedNoManualEvidence","","Keep in review until a matching service manual source is found.","No manual hit found in current indexed PDF manuals."
"Jy","JY","Inlet water temperature abnormal protection","still-blocked","Source meaning is clear, but the card is GMV-W water heat pump VRF and does not confirm GMV6 applicability.","no","","","0","0","0","0","0","0","0","no-manual-hit","","","","","BlockedNoManualEvidence","","Keep in review until a matching service manual source is found.","No manual hit found in current indexed PDF manuals."
"Ld","LD","Protection for indoor fan (Fan 2)","still-blocked","Source meaning is clear, but the card is not in the current GMV6 manual package set and needs applicability confirmation before adding a new indoor runtime code.","no","","","9","0","0","6","0","0","3","candidate-gmv-w","90","GMV-W","gree-versati-iii-split-heat-pump","Protection (Code:""H5""); Phase Loss (Code:""LD"")","NeedGmvWRuntimeStructure","GMV-W / Versati","Create GMV-W/Versati runtime structure and package before adding this code.","Manual evidence points to GMV-W/Versati, but runtime has no GMV-W package yet."
"N2","N2","Settings status of maximum capacity configuration rate for indoor and outdoor units","needs-human-source-review","Source card is a clear status code, but ED-24GEC.8 flagged a GMV Mini conflict and the official image uses lowercase n2 while the inventory key is N2.","yes","data/equipment-diagnostics/error-knowledge/gree/gmv-mini/status/n2.json","GMV Mini","19","2","4","2","0","4","7","candidate-gmv6","125","GMV6","gree-gmv6-service-manual-2020-09","2.114 ""n2"" Settings Status of Maximum Capacity Configuration","RuntimePartial","GMV6 status n2","Add GMV6 n2 status entry using GMV6 service manual section 2.114. Keep existing GMV Mini n2.","GMV Mini runtime exists, but GMV6 manual evidence also exists."
"No","NO","No master indoor unit code","needs-human-source-review","Table-only card has No/N0 visual ambiguity and no diagnostic procedure; do not promote without human source confirmation.","no","","","654","49","61","96","0","84","364","candidate-gmv6","105","Generic GMV/VRF","gree-vrf-service-manual-russian-filename","No master IDU error will happen when there is no master IDU in the system","BlockedNoiseOrVisualAmbiguity","","Do not add as No. Review whether actual code is L7 / no master IDU for Mini or generic GMV.","Useful manual evidence describes 'No master IDU' but not confirmed as standalone code No; GMV6 hits are mostly common word noise."
