"code","canonicalCode","displayCode","sourceMeaningEn","normalizedMeaningDraftRu","categoryCandidate","sourceManualId","sourceManualTitle","sourceDocument","sourcePath","sourceSection","sourcePage","sourceContext","confidence","alreadyInGmv6Runtime","existingRuntimePath","actionRecommendation","reason"
"AE","AE","AE","Charge refrigerant manually","Already covered in GMV6 runtime before ED-24GEC.13A","status","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/ae.json","already-covered","Existing GMV6 runtime card retained."
"AF","AF","AF","Fan","Already covered in GMV6 runtime before ED-24GEC.13A","status","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/af.json","already-covered","Existing GMV6 runtime card retained."
"AH","AH","AH","Heating","Already covered in GMV6 runtime before ED-24GEC.13A","status","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/ah.json","already-covered","Existing GMV6 runtime card retained."
"AJ","AJ","AJ","Cleaning reminding of filter","Already covered in GMV6 runtime before ED-24GEC.13A","status","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/aj.json","already-covered","Existing GMV6 runtime card retained."
"AL","AL","AL","Charge refrigerant automatically","Already covered in GMV6 runtime before ED-24GEC.13A","status","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/al.json","already-covered","Existing GMV6 runtime card retained."
"An","AN","An","Child lock status","Already covered in GMV6 runtime before ED-24GEC.13A","status","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/an.json","already-covered","Existing GMV6 runtime card retained."
"AP","AP","AP","Debugging confirmation when starting up the unit","Already covered in GMV6 runtime before ED-24GEC.13A","status","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/ap.json","already-covered","Existing GMV6 runtime card retained."
"AU","AU","AU","Long-distance emergency stop","Already covered in GMV6 runtime before ED-24GEC.13A","status","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/au.json","already-covered","Existing GMV6 runtime card retained."
"Ay","AY","Ay","Shielding status","Already covered in GMV6 runtime before ED-24GEC.13A","status","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/ay.json","already-covered","Existing GMV6 runtime card retained."
"b1","B1","b1","Malfunction of outdoor ambient temperature sensor","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/b1.json","already-covered","Existing GMV6 runtime card retained."
"b2","B2","b2","Malfunction of defrosting temperature sensor 1","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/b2.json","already-covered","Existing GMV6 runtime card retained."
"b3","B3","b3","Malfunction of defrosting temperature sensor 2","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/b3.json","already-covered","Existing GMV6 runtime card retained."
"b4","B4","b4","Malfunction of liquid outlet temperature sensor of sub-cooler","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/b4.json","already-covered","Existing GMV6 runtime card retained."
"b5","B5","b5","Malfunction of gas outlet temperature sensor of sub-cooler","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/b5.json","already-covered","Existing GMV6 runtime card retained."
"b6","B6","b6","Malfunction of inlet tube temperature sensor of vapor liquid separator","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/b6.json","already-covered","Existing GMV6 runtime card retained."
"b7","B7","b7","Malfunction of exit tube temperature sensor of vapor liquid separator","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/b7.json","already-covered","Existing GMV6 runtime card retained."
"b8","B8","b8","Malfunction of outdoor humidity sensor","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/b8.json","already-covered","Existing GMV6 runtime card retained."
"b9","B9","b9","Malfunction of gas temperature sensor of heat exchanger","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/b9.json","already-covered","Existing GMV6 runtime card retained."
"bA","BA","bA","Malfunction of oil-return temperature sensor 1","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/ba.json","already-covered","Existing GMV6 runtime card retained."
"bb","BB","bb","Malfunction of temperature sensor of oil return 4","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/bb.json","already-covered","Existing GMV6 runtime card retained."
"bd","BD","bd","Malfunction of gas inlet temperature sensor of sub-cooler","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/bd.json","already-covered","Existing GMV6 runtime card retained."
"bE","BE","bE","Malfunction of inlet tube temperature sensor of condenser","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/be.json","already-covered","Existing GMV6 runtime card retained."
"bF","BF","bF","Malfunction of outlet tube temperature sensor of condenser","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/bf.json","already-covered","Existing GMV6 runtime card retained."
"bH","BH","bH","Clock of system is abnormal","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/bh.json","already-covered","Existing GMV6 runtime card retained."
"bJ","BJ","bJ","High-pressure sensor and low-pressure sensor are connected reversely","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/bj.json","already-covered","Existing GMV6 runtime card retained."
"bn","BN","bn","Malfunction of liquid inlet temperature sensor of sub-cooler","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/bn.json","already-covered","Existing GMV6 runtime card retained."
"bP","BP","bP","Malfunction of temperature sensor of oil- return 2","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/bp.json","already-covered","Existing GMV6 runtime card retained."
"bU","BU","bU","Malfunction of temperature sensor of oil return 3","Already covered in GMV6 runtime before ED-24GEC.13A","outdoor","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/bu.json","already-covered","Existing GMV6 runtime card retained."
"C0","C0","C0","Communication malfunction between IDU, ODU and IDU?s wired controller","Already covered in GMV6 runtime before ED-24GEC.13A","debugging","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/c0.json","already-covered","Existing GMV6 runtime card retained."
"C1","C1","C1","Communication malfunction between main control and DC-DC controller","Already covered in GMV6 runtime before ED-24GEC.13A","debugging","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/c1.json","already-covered","Existing GMV6 runtime card retained."
"C2","C2","C2","Communication malfunction between main control and inverter compressor driver","Already covered in GMV6 runtime before ED-24GEC.13A","debugging","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/c2.json","already-covered","Existing GMV6 runtime card retained."
"C3","C3","C3","Communication malfunction between main control and inverter fan driver","Already covered in GMV6 runtime before ED-24GEC.13A","debugging","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/c3.json","already-covered","Existing GMV6 runtime card retained."
"C4","C4","C4","Malfunction of lack of IDU","Already covered in GMV6 runtime before ED-24GEC.13A","debugging","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/c4.json","already-covered","Existing GMV6 runtime card retained."
"C5","C5","C5","Alarm because project code of IDU is inconsistent","Already covered in GMV6 runtime before ED-24GEC.13A","debugging","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/c5.json","already-covered","Existing GMV6 runtime card retained."
"C6","C6","C6","Alarm because ODU quantity is inconsistent","Already covered in GMV6 runtime before ED-24GEC.13A","debugging","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/c6.json","already-covered","Existing GMV6 runtime card retained."
"C7","C7","C7","Abnormal communication of converter","Already covered in GMV6 runtime before ED-24GEC.13A","debugging","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/c7.json","already-covered","Existing GMV6 runtime card retained."
"C8","C8","C8","Emergency status of compressor","Already covered in GMV6 runtime before ED-24GEC.13A","debugging","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/c8.json","already-covered","Existing GMV6 runtime card retained."
"C9","C9","C9","Emergency status of fan","Already covered in GMV6 runtime before ED-24GEC.13A","debugging","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/c9.json","already-covered","Existing GMV6 runtime card retained."
"CA","CA","CA","Emergency status of module","Already covered in GMV6 runtime before ED-24GEC.13A","debugging","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/ca.json","already-covered","Existing GMV6 runtime card retained."
"Cb","CB","Cb","Overflow distribution of IP address","Already covered in GMV6 runtime before ED-24GEC.13A","debugging","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/cb.json","already-covered","Existing GMV6 runtime card retained."
"CC","CC","CC","No main unit","Already covered in GMV6 runtime before ED-24GEC.13A","debugging","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/cc.json","already-covered","Existing GMV6 runtime card retained."
"Cd","CD","Cd","Communication malfunction between mode exchanger and ODU","Already covered in GMV6 runtime before ED-24GEC.13A","debugging","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/cd.json","already-covered","Existing GMV6 runtime card retained."
"CE","CE","CE","Communication malfunction between mode exchanger and IDU","Already covered in GMV6 runtime before ED-24GEC.13A","debugging","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/ce.json","already-covered","Existing GMV6 runtime card retained."
"CF","CF","CF","Malfunction of multiple main control units","Already covered in GMV6 runtime before ED-24GEC.13A","debugging","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/cf.json","already-covered","Existing GMV6 runtime card retained."
"CH","CH","CH","Rated capacity is too high","Already covered in GMV6 runtime before ED-24GEC.13A","debugging","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/ch.json","already-covered","Existing GMV6 runtime card retained."
