code,canonicalCode,displayCode,sectionNumber,sectionTitle,sourceMeaningEn,normalizedMeaningRu,equipmentSide,proposedRuntimeFolder,sourceManualId,sourceManualPath,sourceLineOrContext,alreadyInRuntime,existingRuntimePath,action,reason
bb,bb,,,Faults / Error Indication,Malfunction of temperature sensor of oil return 4,неисправность датчика,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor bb / PDF page 75 / manual page 73,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/bb.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
bd,bd,,,Faults / Error Indication,Malfunction of gas inlet temperature sensor of sub-cooler,неисправность датчика,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor bd / PDF page 75 / manual page 73,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/bd.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
bE,bE,,,Faults / Error Indication,Malfunction of inlet tube temperature sensor of condenser,неисправность датчика,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor bE / PDF page 75 / manual page 73,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/be.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
bF,bF,,,Faults / Error Indication,Malfunction of outlet tube temperature sensor of condenser,неисправность датчика,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor bF / PDF page 75 / manual page 73,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/bf.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
bH,bH,,,Faults / Error Indication,Clock of system is abnormal,неисправность оборудования,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor bH / PDF page 75 / manual page 73,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/bh.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
bJ,bJ,,,Faults / Error Indication,High-pressure sensor and low-pressure sensor are connected reversely,неисправность датчика,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor bJ / PDF page 75 / manual page 73,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/bj.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
bn,bn,,,Faults / Error Indication,Malfunction of liquid inlet temperature sensor of sub-cooler,неисправность датчика,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor bn / PDF page 75 / manual page 73,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/bn.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
bP,bP,,,Faults / Error Indication,Malfunction of temperature sensor of oil- return 2,неисправность датчика,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor bP / PDF page 75 / manual page 73,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/bp.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
bU,bU,,,Faults / Error Indication,Malfunction of temperature sensor of oil return 3,неисправность датчика,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor bU / PDF page 75 / manual page 73,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/bu.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
E0,E0,,,Malfunction of ODU,Malfunction of ODU,неисправность наружного блока,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,data/reference/gree-official-support-error-catalog/подтверждённый/Gree-GMV-E0.подтверждённый.json,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/e0.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
E1,E1,,2.57,Faults / Error Indication,High-pressure protection,защита по высокому давлению,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor E1 / PDF page 75 / manual page 73; Troubleshooting 2.57 / PDF page 109 / manual page 107,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/e1.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
E2,E2,,2.58,Faults / Error Indication,Discharge low-temperature protection,защитное состояние защитной цепи,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor E2 / PDF page 75 / manual page 73; Troubleshooting 2.58 / PDF page 111 / manual page 109,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/e2.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
E3,E3,,2.59,Faults / Error Indication,Low-pressure protection,защитное состояние холодильного контура,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor E3 / PDF page 75 / manual page 73; Troubleshooting 2.59 / PDF page 112 / manual page 110,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/e3.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
E4,E4,,2.60,Faults / Error Indication,High discharge temperature protection of compressor,защитное состояние компрессора,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor E4 / PDF page 75 / manual page 73; Troubleshooting 2.60 / PDF page 114 / manual page 112,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/e4.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
Ed,Ed,,,Faults / Error Indication,Drive IPM low temperature protection,защитное состояние инверторного привода,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor Ed / PDF page 75 / manual page 73,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/ed.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
F0,F0,,2.61,Faults / Error Indication,Main board of ODU is poor,неисправность оборудования,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor F0 / PDF page 75 / manual page 73; Troubleshooting 2.61 / PDF page 115 / manual page 113,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/f0.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
F1,F1,,2.62,Faults / Error Indication,Malfunction of high-pressure sensor,неисправность датчика,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor F1 / PDF page 75 / manual page 73; Troubleshooting 2.62 / PDF page 116 / manual page 114,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/f1.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
F3,F3,,2.63,Faults / Error Indication,Malfunction of low-pressure sensor,неисправность датчика низкого давления,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor F3 / PDF page 75 / manual page 73; Troubleshooting 2.63 / PDF page 117 / manual page 115,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/f3.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
F5,F5,,2.64,Faults / Error Indication,Malfunction of discharge temperature sensor of compressor 1,неисправность компрессора,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor F5 / PDF page 75 / manual page 73; Troubleshooting 2.64 / PDF page 118 / manual page 116,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/f5.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
F6,F6,,2.65,Faults / Error Indication,Malfunction of discharge temperature sensor of compressor 2,неисправность компрессора,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor F6 / PDF page 75 / manual page 73; Troubleshooting 2.65 / PDF page 119 / manual page 117,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/f6.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
F7,F7,,2.66,Faults / Error Indication,Malfunction of discharge temperature sensor of compressor 3,неисправность компрессора,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor F7 / PDF page 75 / manual page 73; Troubleshooting 2.66 / PDF page 120 / manual page 118,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/f7.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
F8,F8,,2.67,Faults / Error Indication,Malfunction of discharge temperature sensor of compressor 4,неисправность компрессора,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor F8 / PDF page 75 / manual page 73; Troubleshooting 2.67 / PDF page 121 / manual page 119,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/f8.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
F9,F9,,2.68,Faults / Error Indication,Malfunction of discharge temperature sensor of compressor 5,неисправность компрессора,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor F9 / PDF page 75 / manual page 73; Troubleshooting 2.68 / PDF page 122 / manual page 120,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/f9.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
FA,FA,,2.69,Faults / Error Indication,Malfunction of discharge temperature sensor of compressor 6,неисправность компрессора,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor FA / PDF page 75 / manual page 73; Troubleshooting 2.69 / PDF page 123 / manual page 121,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/fa.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
Fb,Fb,,2.77,Faults / Error Indication,Malfunction of casing top temperature sensor of compressor 2,неисправность компрессора,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor Fb / PDF page 75 / manual page 73; Troubleshooting 2.77 / PDF page 131 / manual page 129,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/fb.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
FC,FC,,2.71,Faults / Error Indication,Current sensor of compressor 2 is abnormal,неисправность компрессора,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor FC / PDF page 75 / manual page 73; Troubleshooting 2.71 / PDF page 125 / manual page 123,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/fc.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
Fd,Fd,,,Faults / Error Indication,Malfunction of exit tube temperature sensor of mode exchanger,неисправность датчика,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor Fd / PDF page 75 / manual page 73,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/fd.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
FE,FE,,2.73,Faults / Error Indication,Current sensor of compressor 4 is abnormal,неисправность компрессора,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor FE / PDF page 75 / manual page 73; Troubleshooting 2.73 / PDF page 127 / manual page 125,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/fe.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
FF,FF,,2.74,Faults / Error Indication,Current sensor of compressor 5 is abnormal,неисправность компрессора,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor FF / PDF page 75 / manual page 73; Troubleshooting 2.74 / PDF page 128 / manual page 126,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/ff.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
FH,FH,,2.70,FH Abnormal Current Sensor of Compressor 1,Abnormal Current Sensor of Compressor 1,неисправность датчика тока компрессора 1,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,Section 2.70: FH Abnormal Current Sensor of Compressor 1 / manual evidence line 6924,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/fh.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
FJ,FJ,,2.75,Faults / Error Indication,Current sensor of compressor 6 is abnormal,неисправность компрессора,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor FJ / PDF page 75 / manual page 73; Troubleshooting 2.75 / PDF page 129 / manual page 127,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/fj.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
FL,FL,,2.72,Faults / Error Indication,Current sensor of compressor 3 is abnormal,неисправность компрессора,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor FL / PDF page 75 / manual page 73; Troubleshooting 2.72 / PDF page 126 / manual page 124,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/fl.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
Fn,Fn,,,Faults / Error Indication,Malfunction of inlet tube temperature sensor of mode exchanger,неисправность датчика,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor Fn / PDF page 75 / manual page 73,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/fn.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
FP,FP,,,Faults / Error Indication,Malfunction of DC motor,неисправность оборудования,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor FP / PDF page 75 / manual page 73,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/fp.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
FU,FU,,2.76,Faults / Error Indication,Malfunction of casing top temperature sensor of compressor 1,неисправность компрессора,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor FU / PDF page 75 / manual page 73; Troubleshooting 2.76 / PDF page 130 / manual page 128,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/fu.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
G0,G0,,,Faults / Error Indication,PV reversed connection protection,защитное состояние электропитания,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor G0 / PDF page 76 / manual page 74,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/g0.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
G1,G1,,,Faults / Error Indication,PV anti-islanding protection,защитное состояние электропитания,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor G1 / PDF page 76 / manual page 74,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/g1.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
G2,G2,,,Faults / Error Indication,PV DC overcurrent protection,защитное состояние электропитания,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor G2 / PDF page 76 / manual page 74,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/g2.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
G3,G3,,,Faults / Error Indication,PV power generation overload,неисправность электропитания,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor G3 / PDF page 76 / manual page 74,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/g3.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
G4,G4,,,Faults / Error Indication,PV leakage current protection,защитное состояние электропитания,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor G4 / PDF page 76 / manual page 74,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/g4.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
G5,G5,,,Faults / Error Indication,Phase-lacking protection at power grid side,защитное состояние электропитания,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor G5 / PDF page 76 / manual page 74,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/g5.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
G6,G6,,,Faults / Error Indication,PV LVRT,неисправность электропитания,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor G6 / PDF page 76 / manual page 74,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/g6.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
G7,G7,,,Faults / Error Indication,Grid over/under frequency protection,защитное состояние электропитания,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor G7 / PDF page 76 / manual page 74,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/g7.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
G8,G8,,,Faults / Error Indication,Overcurrent protection at power grid side,защитное состояние электропитания,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor G8 / PDF page 76 / manual page 74,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/g8.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
G9,G9,,,Faults / Error Indication,Drive IPM module protection at power grid side,защитное состояние инверторного привода,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor G9 / PDF page 76 / manual page 74,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/g9.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
GA,GA,,,Faults / Error Indication,Low/high input voltage protection at power grid side,защитное состояние электропитания,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor GA / PDF page 76 / manual page 74,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/ga.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
